"시군구명","시간대","분류","매출건수","매출금액합계","데이터기준일"
"창원시 의창구","17","레포츠/문화/취미","18902","684774375","20240101"
"창원시 의창구","17","서비스","3801","115188785","20240101"
"창원시 의창구","17","식생활","151865","3022414351","20240101"
"창원시 의창구","17","여행","1444","105065150","20240101"
"창원시 의창구","17","유통","201895","3295391562","20240101"
"창원시 의창구","17","유흥","553","3275700","20240101"
"창원시 의창구","17","의료/미용","74842","2680906250","20240101"
"창원시 의창구","17","의생활","1215","98263988","20240101"
"창원시 의창구","17","자동차","37332","2308235758","20240101"
"창원시 의창구","17","주거생활","1098","113031486","20240101"
"창원시 의창구","18","교육","2321","420530707","20240101"
"창원시 의창구","18","기타","2485","49242030","20240101"
"창원시 의창구","18","내구재","595","4698170","20240101"
"창원시 의창구","18","레포츠/문화/취미","18800","576486179","20240101"
"창원시 의창구","18","서비스","3321","63391777","20240101"
"창원시 의창구","18","식생활","201168","5211365094","20240101"
"창원시 의창구","18","여행","1286","91949200","20240101"
"창원시 의창구","18","유통","212404","3135993500","20240101"
"창원시 의창구","18","유흥","1022","9022300","20240101"
"창원시 의창구","18","의료/미용","43856","1459551897","20240101"
"창원시 의창구","18","의생활","924","59122420","20240101"
"창원시 의창구","18","자동차","32837","1731831383","20240101"
"창원시 의창구","18","주거생활","67","6354402","20240101"
"창원시 의창구","19","교육","1395","253562010","20240101"
"창원시 의창구","19","기타","1570","26162066","20240101"
"창원시 의창구","19","내구재","738","1665780","20240101"
"창원시 의창구","19","레포츠/문화/취미","18380","446210113","20240101"
"창원시 의창구","19","서비스","2400","31901575","20240101"
"창원시 의창구","19","식생활","206179","7191184393","20240101"
"창원시 의창구","19","여행","724","41253870","20240101"
"창원시 의창구","19","유통","182800","2575591520","20240101"
"창원시 의창구","19","유흥","1628","29609706","20240101"
"창원시 의창구","19","의료/미용","21110","814341615","20240101"
"창원시 의창구","19","의생활","505","34546630","20240101"
"창원시 의창구","19","자동차","23673","1124969749","20240101"
"창원시 의창구","20","교육","824","156816216","20240101"
"창원시 의창구","20","기타","1416","15402694","20240101"
"창원시 의창구","20","내구재","794","644610","20240101"
"창원시 의창구","20","레포츠/문화/취미","17224","269771831","20240101"
"창원시 의창구","20","서비스","1951","20381160","20240101"
"창원시 의창구","20","식생활","157925","6405691109","20240101"
"창원시 의창구","20","여행","496","39218020","20240101"
"창원시 의창구","20","유통","171552","2241059800","20240101"
"창원시 의창구","20","유흥","2838","92597224","20240101"
"창원시 의창구","20","의료/미용","11676","487275524","20240101"
"창원시 의창구","20","의생활","112","4091270","20240101"
"창원시 의창구","20","자동차","18804","849582255","20240101"
"창원시 의창구","21","교육","357","87822300","20240101"
"창원시 의창구","21","기타","1097","12847146","20240101"
"창원시 의창구","21","내구재","682","388740","20240101"
"창원시 의창구","21","레포츠/문화/취미","15175","171700675","20240101"
"창원시 의창구","21","서비스","1647","7870195","20240101"
"창원시 의창구","21","식생활","91022","3618921021","20240101"
"창원시 의창구","21","여행","337","17110500","20240101"
"창원시 의창구","21","유통","144842","1632622227","20240101"
"창원시 의창구","21","유흥","4350","244113251","20240101"
"창원시 의창구","21","의료/미용","3602","156508200","20240101"
"창원시 의창구","21","자동차","15397","579639300","20240101"
"창원시 의창구","22","교육","82","23925500","20240101"
"창원시 의창구","22","기타","434","4657330","20240101"
"창원시 의창구","22","내구재","538","233470","20240101"
"창원시 의창구","22","레포츠/문화/취미","12543","114307690","20240101"
"창원시 의창구","22","서비스","1255","5450320","20240101"
"창원시 의창구","22","식생활","46546","1889546769","20240101"
"창원시 의창구","22","여행","269","15880860","20240101"
"창원시 의창구","22","유통","100077","920807026","20240101"
"창원시 의창구","22","유흥","4974","387354400","20240101"
"창원시 의창구","22","의료/미용","570","38069000","20240101"
"창원시 의창구","22","자동차","6156","252979298","20240101"
"창원시 의창구","23","교육","60","14852300","20240101"
"창원시 의창구","23","기타","55","492110","20240101"
"창원시 의창구","23","내구재","341","170270","20240101"
"창원시 의창구","23","레포츠/문화/취미","9379","64105080","20240101"
"창원시 의창구","23","서비스","751","3259860","20240101"
"창원시 의창구","23","식생활","25384","1116212986","20240101"
"창원시 의창구","23","여행","169","8571140","20240101"
"창원시 의창구","23","유통","63958","499895520","20240101"
"창원시 의창구","23","유흥","4471","447572025","20240101"
"창원시 의창구","23","의료/미용","257","21208420","20240101"
