"시군구명","월","분류","성별","연령대","매출건수","매출금액합계","데이터기준일"
"창원시 의창구","1","의생활","여성","40대","9","87900","20240101"
"창원시 의창구","1","의생활","여성","50대","22","719750","20240101"
"창원시 의창구","1","의생활","여성","60대","19","1189850","20240101"
"창원시 의창구","1","자동차","남성","20대","1775","70151738","20240101"
"창원시 의창구","1","자동차","남성","30대","4888","240000064","20240101"
"창원시 의창구","1","자동차","남성","40대","5895","328301756","20240101"
"창원시 의창구","1","자동차","남성","50대","5563","375491289","20240101"
"창원시 의창구","1","자동차","남성","60대","3141","215419316","20240101"
"창원시 의창구","1","자동차","남성","70대이상","405","26980971","20240101"
"창원시 의창구","1","자동차","여성","20대","589","22083808","20240101"
"창원시 의창구","1","자동차","여성","30대","1647","68049466","20240101"
"창원시 의창구","1","자동차","여성","40대","1878","86253919","20240101"
"창원시 의창구","1","자동차","여성","50대","2021","122368035","20240101"
"창원시 의창구","1","자동차","여성","60대","862","44948774","20240101"
"창원시 의창구","1","자동차","여성","70대이상","44","1806565","20240101"
"창원시 의창구","1","주거생활","남성","20대","3","275154","20240101"
"창원시 의창구","1","주거생활","남성","30대","31","2543140","20240101"
"창원시 의창구","1","주거생활","남성","40대","114","16745681","20240101"
"창원시 의창구","1","주거생활","남성","50대","241","20387138","20240101"
"창원시 의창구","1","주거생활","남성","60대","111","6209451","20240101"
"창원시 의창구","1","주거생활","남성","70대이상","3","2186360","20240101"
"창원시 의창구","1","주거생활","여성","30대","7","143780","20240101"
"창원시 의창구","1","주거생활","여성","40대","20","1171060","20240101"
"창원시 의창구","1","주거생활","여성","50대","60","9491514","20240101"
"창원시 의창구","1","주거생활","여성","60대","6","85140","20240101"
"창원시 의창구","2","교육","남성","20대","48","439650","20240101"
"창원시 의창구","2","교육","남성","30대","137","5098310","20240101"
"창원시 의창구","2","교육","남성","40대","514","50414063","20240101"
"창원시 의창구","2","교육","남성","50대","80","5952554","20240101"
"창원시 의창구","2","교육","남성","60대","4","311200","20240101"
"창원시 의창구","2","교육","여성","20대","7","21300","20240101"
"창원시 의창구","2","교육","여성","30대","214","11589850","20240101"
"창원시 의창구","2","교육","여성","40대","551","60631808","20240101"
"창원시 의창구","2","교육","여성","50대","30","4967700","20240101"
"창원시 의창구","2","교육","여성","60대","3","710000","20240101"
